Recency,Frequency,Monetary,Returns,CustomerID,Country
32,114,273.62,0,15485,United Kingdom
2,52.85714286,920.95,0,12433,Norway
186,46.75,104.96,1,16955,United Kingdom
375,0,13.35,0,15350,United Kingdom
38,67,307.42,0,15605,United Kingdom
9,29.91666667,190.51,0,18144,United Kingdom
375,0,48.5,1,15922,United Kingdom
9,182.5,177.51,0,14594,United Kingdom
375,0,134.65,0,15165,United Kingdom
3,1.462686567,26185.72,47,14911,EIRE
101,54.4,236.24,0,16456,United Kingdom
3,2.532258065,19848.49,45,17841,United Kingdom
34,47.71428571,812.81,6,12472,Germany
5,24.33333333,1199.83,1,17346,United Kingdom
375,0,32.15,0,17643,United Kingdom
82,58.4,206.37,1,17873,United Kingdom
277,11.75,520.51,5,13093,United Kingdom
11,9.805555556,1684.94,13,12921,United Kingdom
3,9.513513514,1239.18,4,13468,United Kingdom
23,175.5,56.79,0,17760,United Kingdom
82,16.76470588,396.13,2,16928,United Kingdom
375,0,12.97,1,16048,United Kingdom
375,0,286.6,0,16274,United Kingdom
313,30.5,107.43,0,14496,United Kingdom
6,52.14285714,319.69,2,14696,United Kingdom
4,92.25,175.2,0,16539,United Kingdom
62,104,18.06,0,17025,United Kingdom
2,11.28125,447.02,8,13777,United Kingdom
32,22.4,1461.19,1,17690,United Kingdom
145,38,317.22,5,12947,United Kingdom
96,46,125.01,2,17460,United Kingdom
13,17.5,758.76,0,18229,United Kingdom
375,0,38.95,0,14142,United Kingdom
30,37.88888889,408.3,4,17069,United Kingdom
375,0,73.11,0,13065,United Kingdom
3,3.463157895,7595.75,35,14606,United Kingdom
130,122,42.97,0,16835,United Kingdom
219,13.72727273,427.65,0,15235,United Kingdom
12,19.66666667,406.16,2,13576,United Kingdom
375,0,66.11,0,18011,United Kingdom
10,25.57142857,702.85,4,13090,United Kingdom
2,26.21428571,367.44,1,15694,United Kingdom
13,59.83333333,153.58,0,14741,United Kingdom
283,18,239.9,3,13715,United Kingdom
9,24.64285714,584.84,3,14092,United Kingdom
374,0,89.09,0,17732,United Kingdom
374,0,4.65,0,12855,United Kingdom
41,47,720.35,1,15752,United Kingdom
374,0,30.02,0,17855,United Kingdom
10,72.4,154.73,2,14047,United Kingdom
374,0,3.39,0,17925,United Kingdom
23,69.8,173.63,2,13941,United Kingdom
4,18.15,424.89,7,17017,United Kingdom
3,24.4,331.31,0,14135,United Kingdom
374,0,17.52,0,13108,United Kingdom
4,11.76666667,1978.17,19,12471,Germany
13,25.28571429,1101.2,3,15601,United Kingdom
13,19.66666667,893.2,5,13418,United Kingdom
10,59.16666667,358.51,2,14766,United Kingdom
192,36.2,299.75,3,15658,United Kingdom
12,44.875,505.56,2,14388,United Kingdom
13,39.66666667,301.84,1,14901,United Kingdom
13,16.76190476,928.97,1,18041,United Kingdom
26,26.46153846,518.47,2,15955,United Kingdom
374,0,2.95,0,15070,United Kingdom
213,80,233.62,0,16244,United Kingdom
31,114,309.32,0,15111,United Kingdom
12,39.88888889,880.84,4,14390,United Kingdom
292,40.5,47.2,1,16546,United Kingdom
102,44.83333333,267.06,1,15260,United Kingdom
6,36.4,272.33,0,13305,United Kingdom
177,98.5,77.22,0,14491,United Kingdom
6,18.89473684,291.02,1,14060,United Kingdom
374,0,59.11,0,15923,United Kingdom
374,0,122.35,0,16752,United Kingdom
28,49.14285714,393.4,0,17287,United Kingdom
374,0,47.8,1,15363,United Kingdom
150,111.5,149.35,0,12915,United Kingdom
11,40,413.83,2,15544,United Kingdom
21,21.5625,366.97,3,15738,United Kingdom
24,61.8,211.07,2,16042,United Kingdom
10,12.13793103,145.55,1,17381,United Kingdom
75,22.69230769,500.61,6,15827,United Kingdom
12,14.04,2234.69,6,14180,United Kingdom
23,43.5,185.01,0,13117,United Kingdom
25,174,317.52,0,16916,United Kingdom
33,170,278.74,0,17964,United Kingdom
31,48.71428571,273.15,0,14466,United Kingdom
27,173.5,92.2,0,17235,United Kingdom
374,0,69.5,0,16510,United Kingdom
84,96.33333333,312.75,1,17802,United Kingdom
313,9.833333333,89.35,2,15107,United Kingdom
374,0,229.58,0,17976,United Kingdom
20,88,427.66,0,14449,United Kingdom
13,18.47368421,324.31,2,15838,United Kingdom
374,0,85.15,1,16781,United Kingdom
0,0,0,0,0,0
53,31.5,290,0,13491,United Kingdom
24,28.75,400.91,1,16186,United Kingdom
18,50.42857143,260.12,0,17685,United Kingdom
2,15.29166667,1371.88,6,17581,United Kingdom
214,79.5,26.47,0,15732,United Kingdom
24,58,177.76,0,13138,United Kingdom
374,0,15,1,15823,United Kingdom
9,45.25,387.66,2,17567,United Kingdom
5,7.739130435,1037.22,7,15061,United Kingdom
60,77.75,100.65,1,16203,United Kingdom
6,24,1350.1,2,15640,United Kingdom
179,48.25,422.75,0,15574,United Kingdom
59,62.2,331.72,1,16770,United Kingdom
28,68.6,459.52,1,17838,United Kingdom
17,44.125,359.14,0,17228,United Kingdom
31,85.5,91.55,2,14829,United Kingdom
4,52.28571429,179.59,0,17412,United Kingdom
9,18.84210526,1081.77,4,14031,United Kingdom
60,104.3333333,63.11,0,14775,United Kingdom
5,4.012048193,704.65,3,12971,United Kingdom
72,51.5,1110.97,2,15834,United Kingdom
19,29.08333333,638.51,2,17659,United Kingdom
69,43.28571429,619.61,4,15299,United Kingdom
159,71.33333333,102,1,15646,United Kingdom
0,0,0,0,0,0
55,78.25,236.09,3,14443,United Kingdom
11,6.314814815,5357.68,11,14156,EIRE
0,0,0,0,0,0
129,122,77.21,0,13402,United Kingdom
178,32.5,424.43,3,18168,United Kingdom
3,11.8,2036.83,1,17757,United Kingdom
198,82,251.14,3,14625,United Kingdom
374,0,12.65,0,13011,United Kingdom
3,6.052631579,738.67,6,13798,United Kingdom
171,94.5,76.33,1,15384,United Kingdom
156,45,112.54,1,14264,United Kingdom
361,0,34.9,1,13295,United Kingdom
374,0,1.24,0,16754,United Kingdom
224,74.5,40.55,0,16634,United Kingdom
220,30.2,252.73,0,18239,United Kingdom
374,0,2.95,0,14576,United Kingdom
41,83,310.26,1,13145,United Kingdom
4,40.55555556,975.47,3,14395,United Kingdom
9,182,2.61,0,14865,United Kingdom
20,58.5,296.19,3,15093,United Kingdom
374,0,43.45,0,12738,Germany
44,54.66666667,354.39,5,16150,United Kingdom
62,77.75,110.66,2,17552,United Kingdom
82,145.5,30.98,0,14236,United Kingdom
23,8.538461538,814.79,0,17961,United Kingdom
181,20.77777778,1041.79,4,14573,United Kingdom
18,50.57142857,262.13,0,17135,United Kingdom
41,55.33333333,119.24,0,17396,United Kingdom
0,0,0,0,0,0
360,6.5,123.05,2,12967,United Kingdom
373,0,22.81,0,12686,France
0,0,0,0,0,0
46,53.2,201.89,2,15240,United Kingdom
5,29.58333333,692.45,5,18225,United Kingdom
373,0,145.39,1,13370,United Kingdom
189,92,139.99,0,16883,United Kingdom
60,51.83333333,423.1,2,13520,Switzerland
6,14.83333333,1005.97,1,12841,United Kingdom
7,52,743.63,1,16905,United Kingdom
23,116.3333333,142.26,2,12427,Germany
373,0,90.23,0,17967,United Kingdom
3,73.6,634.44,0,16891,United Kingdom
373,0,23.85,0,14589,United Kingdom
27,21.0625,623.25,7,14680,United Kingdom
5,91.75,224.17,0,17884,United Kingdom
18,70.6,71.83,0,12557,Spain
6,40.44444444,507.93,0,14083,United Kingdom
3,28,692.8,2,13013,United Kingdom
107,43.83333333,389.27,1,14210,United Kingdom
65,43.57142857,339.47,0,16477,United Kingdom
30,33.9,350.32,1,12600,Germany
5,8.022727273,389.71,7,16013,United Kingdom
3,7.866666667,237.4,7,17949,United Kingdom
39,41.25,544.5,4,12779,Poland
373,0,97.7,0,16926,United Kingdom
154,54,381.51,0,17787,United Kingdom
5,11.38709677,1968.83,0,12682,France
12,59.83333333,624.8,0,14723,United Kingdom
7,30.08333333,941.92,4,17954,United Kingdom
73,42.28571429,213.54,1,17819,United Kingdom
31,25.84615385,848.53,4,12712,Germany
10,29.91666667,686.58,1,15373,United Kingdom
67,152.5,62.71,2,16140,United Kingdom
25,115.3333333,278.14,0,17198,United Kingdom
4,21.23529412,1521.56,0,17238,United Kingdom
336,18,93.84,0,12793,Portugal
9,14.16,266.6,3,15769,United Kingdom
67,153,191.76,0,14396,United Kingdom
25,57.66666667,335.63,2,14898,United Kingdom
373,0,98.5,0,12725,Italy
304,9.571428571,550.13,1,16725,United Kingdom
21,28.83333333,619.14,3,12395,Belgium
65,43.71428571,208.05,0,16455,United Kingdom
13,32.18181818,2355.4,10,13081,United Kingdom
56,158,218.05,0,15545,United Kingdom
3,13.80769231,1679.21,4,17243,United Kingdom
21,18.94444444,649.78,6,15465,United Kingdom
42,46.57142857,1178.73,4,15708,United Kingdom
4,3.580645161,4977.35,21,13089,United Kingdom
7,17.75,3803.64,7,16033,United Kingdom
7,91,539.84,0,13838,United Kingdom
14,50.42857143,636.56,3,15351,United Kingdom
9,35.8,1447.76,1,18055,United Kingdom
60,51.5,543.76,1,15038,United Kingdom
3,13.61538462,2189.03,5,18109,United Kingdom
2,15,724.95,3,13069,United Kingdom
11,27.38461538,1469.64,0,16241,United Kingdom
49,26.5,846.05,4,14800,United Kingdom
10,10.11764706,793.56,5,16839,United Kingdom
12,13.38461538,324.92,1,16168,United Kingdom
7,16.85714286,1853.8,0,16931,United Kingdom
16,16.42857143,1060.41,1,16814,United Kingdom
3,24.26666667,804.37,2,13269,United Kingdom
371,0,84.79,0,14813,United Kingdom
24,34.3,1520.18,1,12567,France
315,13.5,151.34,1,17062,United Kingdom
368,0.75,99.44,0,15332,Lithuania
42,29.36363636,593.66,0,14810,United Kingdom
5,16.22727273,283.02,0,16353,United Kingdom
12,13.30769231,3234.33,5,18118,United Kingdom
18,58.33333333,292.85,0,13831,United Kingdom
318,26.5,74.39,1,13506,United Kingdom
42,82,329.4,0,17796,United Kingdom
147,55.5,270.07,0,15716,United Kingdom
14,178,420.03,0,18156,United Kingdom
368,0,63.55,1,15221,United Kingdom
14,50.57142857,350.58,1,16983,United Kingdom
31,67.6,1371.39,0,17059,United Kingdom
16,58.66666667,666.73,0,16327,United Kingdom
28,42.5,687.31,1,17211,United Kingdom
187,92,16.14,0,17026,United Kingdom
9,29.66666667,1194.26,1,15570,United Kingdom
371,0,227.87,1,15880,United Kingdom
371,0,105.16,0,16718,United Kingdom
308,15.5,744.4,1,15808,United Kingdom
7,29.83333333,1171.13,0,17858,United Kingdom
4,27.69230769,652.4,7,16393,United Kingdom
217,50.66666667,343.13,0,14161,United Kingdom
61,51.33333333,228.96,0,17863,United Kingdom
21,174.5,91.59,0,16411,United Kingdom
266,52,160.1,0,16402,United Kingdom
5,32.90909091,2147.48,1,15023,United Kingdom
6,27.61538462,345.75,0,17402,United Kingdom
21,69.8,784.83,2,15426,United Kingdom
24,28.33333333,665.36,1,12647,Germany
255,57.5,82.49,0,15894,United Kingdom
7,23.86666667,1574.61,1,15867,United Kingdom
19,69.8,1063.41,0,14506,United Kingdom
14,22,1525.31,4,15555,United Kingdom
56,157,87.77,0,13034,United Kingdom
158,106,268.77,0,15889,United Kingdom
17,43.75,266.54,2,15953,United Kingdom
5,60.5,484.16,1,16143,United Kingdom
5,14.32,956.36,4,12720,Germany
19,6.54,669.34,24,16422,United Kingdom
4,33,449.89,0,12747,United Kingdom
17,31.72727273,4193.96,11,15502,United Kingdom
140,115,31.89,0,12763,Japan
304,33.5,464.12,2,14081,United Kingdom
39,23.21428571,1147.63,0,17965,United Kingdom
35,55.5,315.81,1,14404,United Kingdom
16,177,97.99,0,13579,United Kingdom
18,117,1063.67,0,13174,United Kingdom
14,50.57142857,301.65,0,15987,United Kingdom
3,11.96666667,830.83,13,17677,United Kingdom
47,107.3333333,196.77,0,13652,United Kingdom
19,0,46.1,1,12586,Italy
2,13.33333333,1171.87,5,17428,United Kingdom
3,18.78947368,1508.29,7,16161,United Kingdom
370,0,53.49,1,16858,United Kingdom
4,36.4,470.73,1,18219,United Kingdom
5,90.75,134.59,0,14293,United Kingdom
31,67.6,165.56,1,14748,United Kingdom
24,34.1,357.12,1,16638,United Kingdom
76,147,20.49,0,17674,United Kingdom
38,110.3333333,113.29,0,12808,Portugal
23,28.5,30.06,4,13094,United Kingdom
370,0,16.5,0,15899,United Kingdom
31,33.4,677.68,6,12708,Germany
3,73,285.75,1,15898,United Kingdom
360,5,64.65,0,17691,United Kingdom
20,58,64.49,0,17227,United Kingdom
11,7.212765957,4757.67,5,15039,United Kingdom
21,174.5,352.44,0,15919,United Kingdom
284,42.5,56.5,1,13497,United Kingdom
42,40.375,488.41,0,15860,United Kingdom
4,23.86666667,571.87,9,14189,United Kingdom
62,38.125,171.75,2,15304,United Kingdom
187,50,135.9,1,14867,United Kingdom
129,29.75,300.02,0,14344,United Kingdom
19,16.83333333,1215.04,12,12474,Germany
16,49.85714286,777.05,1,16719,United Kingdom
67,75.25,245.79,1,15048,United Kingdom
52,26.08333333,730.12,2,15301,United Kingdom
5,121.6666667,84.01,1,14708,United Kingdom
28,114,333.03,1,16898,United Kingdom
5,30.08333333,332.01,0,14825,United Kingdom
370,0,1.06,0,18113,United Kingdom
25,48.85714286,517.18,0,17596,United Kingdom
9,11.7,1042.55,6,15078,United Kingdom
4,19.88888889,1080.53,1,14085,United Kingdom
370,0,148.27,0,17860,United Kingdom
35,83.25,247.52,0,13155,United Kingdom
10,89.75,95.37,0,15028,United Kingdom
158,18.81818182,913.95,0,16919,United Kingdom
150,110,289.49,0,17259,United Kingdom
13,88.75,496.7,0,17019,United Kingdom
28,56.5,359.44,1,14487,United Kingdom
19,26.53846154,274.54,3,16722,United Kingdom
200,42.25,43.88,1,15882,United Kingdom
12,13.88,1783.92,2,14667,United Kingdom
21,34.6,947.46,0,16710,United Kingdom
110,51.6,646.09,4,16550,United Kingdom
4,36.1,737.36,1,15984,United Kingdom
12,59.33333333,283.29,1,17682,United Kingdom
370,0,24.17,0,16658,United Kingdom
14,16.57142857,740.49,1,17068,United Kingdom
33,33.3,1037.24,0,15356,United Kingdom
312,29,213.85,0,17223,United Kingdom
4,40.22222222,306.54,4,16817,United Kingdom
13,178,314.81,0,13030,United Kingdom
30,48.28571429,607.92,0,17191,United Kingdom
5,23.93333333,746.83,7,15194,United Kingdom
73,49.16666667,151.44,1,14409,United Kingdom
143,56.5,123.43,1,16654,United Kingdom
61,49,11.37,1,16861,United Kingdom
0,0,0,0,0,0
47,41.8,249.13,3,13481,United Kingdom
9,71.8,123.76,1,13495,United Kingdom
19,58,255.78,1,17519,United Kingdom
6,35.9,797.32,0,17218,United Kingdom
14,88.5,427.18,0,17812,United Kingdom
13,59.16666667,239.88,1,14215,United Kingdom
10,39.44444444,110.85,6,15602,United Kingdom
102,88.66666667,273.18,0,17320,United Kingdom
12,26.76923077,692.1,6,16782,United Kingdom
6,72.2,146.24,0,12913,United Kingdom
109,52,246.34,0,17869,United Kingdom
146,74,850.65,2,13564,United Kingdom
313,0,31.3,1,14850,United Kingdom
10,39.22222222,1233.21,4,15021,United Kingdom
310,14.5,114.38,0,13963,United Kingdom
10,7.543478261,1143.32,9,17450,United Kingdom
4,45.375,612.27,1,17091,United Kingdom
46,64.2,93.81,0,17470,United Kingdom
175,64.33333333,7.65,0,17616,United Kingdom
338,15.5,8.5,0,15649,United Kingdom
16,15.54545455,2011.56,5,12681,France
5,51.71428571,573.11,3,14907,United Kingdom
4,18.68421053,1512.8,0,17735,United Kingdom
67,49.83333333,559.68,0,16059,United Kingdom
28,85,271.71,0,17720,United Kingdom
40,109.3333333,201.73,1,15018,United Kingdom
18,28.83333333,794.45,3,14733,United Kingdom
4,25.57142857,388.67,1,13756,United Kingdom
299,17.25,110.8,1,14176,United Kingdom
7,14.08,1558.41,10,13319,United Kingdom
256,56.5,208.71,0,15353,United Kingdom
369,0,83.47,0,18119,United Kingdom
3,36.1,361.11,1,17491,United Kingdom
5,23.86666667,249.65,0,14282,United Kingdom
19,175,268.02,0,13569,United Kingdom
4,13.18518519,1627.55,8,15498,United Kingdom
5,72.4,177.23,0,14673,United Kingdom
19,26.61538462,1463.04,4,13488,United Kingdom
38,110,218.3,0,16221,United Kingdom
117,62.5,292.04,0,15002,United Kingdom
19,87.25,279.1,0,15965,United Kingdom
11,35.5,438.1,0,15024,United Kingdom
3,11.35483871,2494.77,10,17675,United Kingdom
4,36.2,503.25,6,13769,United Kingdom
6,22.25,1950.26,0,16904,United Kingdom
61,61,125.59,1,16086,United Kingdom
369,0,13.25,0,13786,United Kingdom
23,26.30769231,443.57,0,13880,United Kingdom
6,181.5,113.81,0,13173,United Kingdom
17,69.8,440.69,0,15858,United Kingdom
369,0,19.6,0,15180,United Kingdom
4,51.71428571,481.21,0,12347,Iceland
6,51.42857143,123.91,1,14739,United Kingdom
23,42.875,490.98,2,16293,United Kingdom
13,29.25,848.97,2,17419,United Kingdom
12,32,733.89,0,16775,United Kingdom
215,25.33333333,66.71,3,16306,United Kingdom
58,103,129.71,0,16950,United Kingdom
75,41.57142857,586.35,1,17591,United Kingdom
4,25.71428571,602.95,2,12839,United Kingdom
369,0,36.05,0,13807,United Kingdom
369,0,41.72,0,16125,United Kingdom
24,68.4,158.57,1,15081,United Kingdom
2,6.436363636,1940.92,2,18102,United Kingdom
19,38.33333333,262.3,0,16365,United Kingdom
4,30.08333333,617.85,1,17870,United Kingdom
368,0,5.05,0,14821,United Kingdom
33,167.5,43.68,2,16863,United Kingdom
5,13.61538462,1416.76,17,13078,United Kingdom
4,19.88888889,740.77,8,13267,United Kingdom
16,20.11764706,1204.52,11,13050,United Kingdom
17,23,691.41,11,12709,Germany
6,39.77777778,357.22,1,15628,United Kingdom
339,14.5,23.91,0,12386,Australia
3,20.94117647,2237.58,10,14796,United Kingdom
4,16.13636364,790.35,6,16779,United Kingdom
3,18.89473684,690.9,12,13599,United Kingdom
33,167.5,38.31,2,13329,United Kingdom
10,32.18181818,414.27,0,18077,United Kingdom
18,49.57142857,78.24,2,14744,United Kingdom
335,11,764.44,2,17406,United Kingdom
4,45.125,713.25,1,15750,United Kingdom
31,27.58333333,677.31,1,13983,United Kingdom
60,33.66666667,833.12,0,13842,United Kingdom
368,0,40.71,0,12441,France
5,9.611111111,312.96,1,13199,United Kingdom
4,32.63636364,341.76,7,14032,United Kingdom
6,23.8,1606.49,5,17706,United Kingdom
58,61.6,635.06,0,16081,United Kingdom
4,13.53846154,669.34,3,16525,United Kingdom
61,27.45454545,469.12,4,14952,United Kingdom
17,26.46153846,937.93,1,17975,United Kingdom
75,72.75,60.16,0,16122,United Kingdom
6,44.875,294.02,2,13126,United Kingdom
368,0,17.71,2,15973,United Kingdom
2,17.85,1398.95,4,16558,United Kingdom
20,22.66666667,1920.51,6,16713,United Kingdom
368,0,116.87,0,16893,United Kingdom
24,30.72727273,1153.89,1,15529,United Kingdom
26,114,352.37,0,18043,United Kingdom
5,45,703.46,2,16016,United Kingdom
98,67.25,384.73,2,17722,United Kingdom
19,86.75,138.28,0,17324,United Kingdom
158,69.66666667,388.1,0,17341,United Kingdom
2,15.43478261,978.75,3,14051,United Kingdom
18,43.375,576.95,2,15916,United Kingdom
73,98,79.83,2,16233,United Kingdom
62,101.6666667,150.2,0,16385,United Kingdom
258,36.66666667,99.1,2,15032,United Kingdom
42,46.28571429,652.4,4,17213,United Kingdom
23,34,230.48,0,18061,United Kingdom
2,14.70833333,690.41,16,13113,United Kingdom
165,16.08333333,179.86,2,16553,United Kingdom
26,170.5,212.72,2,13455,United Kingdom
3,20.94117647,549.55,7,14217,United Kingdom
54,62.6,48.33,0,17262,United Kingdom
10,39.33333333,442.13,9,14299,United Kingdom
26,113.6666667,136.9,0,18259,United Kingdom
6,59.83333333,148.25,1,17676,United Kingdom
368,0,20.75,0,16679,United Kingdom
368,0,22.15,1,18269,United Kingdom
5,51.42857143,951.95,0,12766,Portugal
4,30,459.25,2,15298,United Kingdom
167,0,57.52,2,18193,United Kingdom
35,66.4,1066.63,1,13523,United Kingdom
0,0,0,0,0,0
17,11.65517241,2597.4,7,15005,United Kingdom
122,18.38461538,3360.2,1,15581,United Kingdom
11,118.3333333,188.76,0,15680,United Kingdom
258,54.5,73.4,0,13649,United Kingdom
73,36.375,539.29,0,17894,United Kingdom
368,0,2.95,0,13270,United Kingdom
11,109,68.39,1,14618,United Kingdom
12,29.16666667,328.94,1,14866,United Kingdom
3,91.25,196.65,0,13077,United Kingdom
13,42.75,305.34,10,13115,United Kingdom
207,80.5,99.87,0,13531,United Kingdom
94,91,2.31,0,13848,United Kingdom
110,85.66666667,135.64,0,13140,United Kingdom
145,111,101.43,1,15713,United Kingdom
39,164.5,262.53,0,17999,United Kingdom
368,0,11.35,0,15347,United Kingdom
31,37.11111111,1281.59,5,17340,United Kingdom
28,67.4,33.74,1,13984,United Kingdom
90,46.16666667,517.96,1,15996,United Kingdom
20,43.125,985.23,0,14030,United Kingdom
0,0,0,0,0,0
17,175,49.25,0,16596,United Kingdom
10,27.15384615,627.42,4,16700,United Kingdom
10,21.9375,448.65,0,16011,United Kingdom
12,50.28571429,439.18,1,17655,United Kingdom
25,56.66666667,698.57,3,16717,United Kingdom
10,35.2,558.54,4,14243,United Kingdom
10,44.125,313.01,1,12963,United Kingdom
214,38,216.48,1,15079,United Kingdom
367,0,5.25,1,14437,United Kingdom
133,78,310.34,0,12942,United Kingdom
27,37.55555556,210.13,3,15660,United Kingdom
4,32.63636364,331.01,1,18092,United Kingdom
6,16.95238095,1096.45,7,15358,United Kingdom
25,33.9,741.05,1,12481,Germany
33,53.33333333,494.23,1,12721,France
3,17.7,1350.7,3,12621,Germany
259,54,74.95,0,18071,United Kingdom
6,23.8,935.39,5,12683,France
282,42.5,20.1,2,12755,Japan
10,13.84,509.12,4,13854,United Kingdom
367,0,66.87,2,12797,Portugal
367,0,91.62,1,13369,United Kingdom
17,49.42857143,297.39,6,12494,France
6,15.26086957,557.95,2,17857,United Kingdom
14,82.66666667,169.91,1,17411,United Kingdom
367,0,160.64,0,14932,Channel Islands
11,88.75,352.18,0,12429,Denmark
17,174.5,10.2,0,14987,United Kingdom
367,0,31.35,0,14355,United Kingdom
6,89.75,99.29,4,17526,United Kingdom
206,80,103.11,0,14896,United Kingdom
10,71,258.63,0,14440,United Kingdom
98,67,221.99,0,13240,United Kingdom
255,55.5,72.3,0,14479,United Kingdom
367,0,138.62,0,16065,United Kingdom
34,166,27.97,0,17430,United Kingdom
188,59.33333333,423.94,1,16520,United Kingdom
367,0,5.5,0,15945,United Kingdom
68,67.66666667,23.61,2,15181,United Kingdom
6,12.96296296,1142.9,4,15856,United Kingdom
3,14.79166667,784.94,3,13102,United Kingdom
18,123.5,100.03,2,14205,United Kingdom
32,43.5,129.14,2,17702,United Kingdom
9,23.33333333,749.81,1,15271,United Kingdom
41,81.25,247.76,1,13982,United Kingdom
45,64,292.62,0,15288,United Kingdom
367,0,28.36,0,17978,United Kingdom
367,0,145.55,0,16795,United Kingdom
27,170,86.03,0,16519,United Kingdom
38,81.75,23.98,0,17816,United Kingdom
6,39,499.41,3,13021,United Kingdom
18,43,769.77,2,16255,United Kingdom
17,87.25,169.46,2,17671,United Kingdom
221,48.33333333,242.59,1,17646,United Kingdom
109,35,83.61,1,12649,Germany
23,77.75,196.01,1,16350,United Kingdom
328,19,164.71,0,12872,United Kingdom
96,135,26.57,0,17339,United Kingdom
11,41.42857143,188.48,3,18230,United Kingdom
362,2,81.75,3,16499,United Kingdom
4,45.125,546.87,1,17097,Spain
121,81.66666667,128.25,0,15192,United Kingdom
2,63.25,282.75,6,14441,United Kingdom
356,0,73.36,1,15279,United Kingdom
0,0,0,0,0,0
10,71,221.06,1,15380,United Kingdom
38,41.66666667,341.19,4,17442,United Kingdom
74,97.33333333,164.79,1,17950,United Kingdom
4,51.28571429,175.42,1,12826,United Kingdom
367,0,25.63,0,17456,United Kingdom
0,0,0,0,0,0
24,56.66666667,463.86,3,15811,United Kingdom
40,40.375,299.4,1,13327,United Kingdom
18,65.75,449.84,2,17700,United Kingdom
58,30.8,361.18,6,13136,United Kingdom
175,38.5,351.95,3,15535,United Kingdom
0,0,0,0,0,0
41,44,210.55,2,15329,United Kingdom
62,152,285.78,0,15211,United Kingdom
102,52.4,322.11,4,15596,United Kingdom
234,66,28.75,1,16163,United Kingdom
31,66.8,571.78,0,16907,United Kingdom
10,18.47368421,1239.39,3,17576,United Kingdom
11,31.81818182,838.68,1,14713,United Kingdom
3,20.76470588,1317.16,1,14702,United Kingdom
6,22.125,1465.82,1,13230,United Kingdom
9,19.38888889,1849.39,2,13969,United Kingdom
3,32.81818182,916.55,0,17530,United Kingdom
25,19.82352941,825.46,3,15805,United Kingdom
40,40.375,274.43,6,17696,United Kingdom
38,109,146.74,0,17076,United Kingdom
7,71.6,523.24,0,17827,United Kingdom
11,39.33333333,965.92,2,16265,United Kingdom
366,0,64,0,17880,United Kingdom
108,85.66666667,93.39,0,13000,United Kingdom
28,23.64285714,594.11,0,17790,United Kingdom
25,28.08333333,916.85,2,12731,France
12,58.5,515.86,0,14419,United Kingdom
366,0,75.04,0,14082,United Kingdom
312,10.6,151.3,1,17912,United Kingdom
366,0,106,0,15723,United Kingdom
